States,Year,"Agriculture, Forestry and Fishing",Mining and Quarrying,Manufacturing,"Electricity, Gas, Water supply & Other utility Services",Construction,"Trade, Repair, Hotels and Restaurants","Transport, Storage, Communication & Services related to Broadcasting",Financial Services,"Real Estate, Ownership of Dwelling & Professional Services",Public Administration,Other Services,TOTAL NSVA at basic prices
MADHYA PRADESH,2018-19,288758,21006,71707,19411,60354,83454,32915,27736,32256,31552,40694,709843
MADHYA PRADESH,2019-20,349638,18430,67665,22235,59418,90988,35674,32126,35922,37580,45068,794745
MADHYA PRADESH,2020-21,394801,23327,62579,22239,57112,72899,30687,32405,35703,41566,54942,828260
MADHYA PRADESH,2021-22,453382,33762,80249,24579,70827,93499,39560,37851,42015,45800,71069,992594
MAHARASHTRA,2017-18,221550,59513,352541,36945,110598,188046,93096,193424,337094,55377,144662,1792845
MAHARASHTRA,2018-19,217278,62788,381542,38136,125771,220081,97701,221938,367243,60840,158690,1952006
MAHARASHTRA,2019-20,261865,60027,371210,36945,126878,236578,98580,241904,413848,73244,182918,2103998
MAHARASHTRA,2020-21,300587,55208,344418,38248,119079,219802,105150,251432,389409,73206,190432,2086970
MANIPUR,2017-18,6367,0,503,462,2025,3162,1191,426,1502,2967,4203,22807
MANIPUR,2018-19,6859,0,507,374,1292,3532,1217,570,1600,3226,4559,23734
MANIPUR,2019-20,7045,0,457,374,1689,3803,1327,674,1666,4250,5658,26942
MANIPUR,2020-21,7273,0,437,338,1643,4094,1378,795,1736,4907,6727,29328
MEGHALAYA,2017-18,5188,758,2107,342,1893,5608,1091,796,1267,2451,2855,24355
MEGHALAYA,2018-19,5572,337,2274,524,1644,6700,1117,739,1333,3023,3410,26673
MEGHALAYA,2019-20,5592,353,2168,502,1807,7524,1159,835,1402,3586,3592,28519
MEGHALAYA,2020-21,5947,201,1873,541,1453,6522,998,877,1456,4148,3058,27072
MEGHALAYA,2021-22,6321,230,2108,584,1636,7421,1107,928,1528,4859,3458,30180
MIZORAM,2017-18,4862,90,95,2611,2096,2108,488,299,466,1957,2588,17661
MIZORAM,2018-19,5596,143,105,2224,1904,2460,491,380,486,2157,2737,18682
MIZORAM,2019-20,6345,173,100,2577,2211,2798,507,426,526,2683,3454,21799
MIZORAM,2020-21,7212,209,99,2632,2259,3181,525,477,569,3338,4359,24861
NAGALAND,2017-18,6757,51,265,373,2050,2347,866,597,1294,3405,3008,21012
NAGALAND,2018-19,6777,87,287,365,2022,2815,953,686,1370,4141,3309,22811
NAGALAND,2019-20,7169,265,271,427,2353,3248,1026,691,1388,4630,4024,25493
NAGALAND,2020-21,7070,166,279,437,2136,2738,1007,857,1423,4919,4448,25481
ODISHA,2017-18,69381,29264,62688,9120,27900,38512,20729,13658,23687,14394,29246,338578
ODISHA,2018-19,81061,34924,84992,8424,30436,42689,18709,14768,24694,16086,32085,388868
ODISHA,2019-20,96913,33421,76240,8945,29914,45852,20056,16793,25694,18905,36958,409690
ODISHA,2020-21,105097,28855,71121,8752,29629,43253,20214,18342,25768,21094,40287,412412
ODISHA,2021-22,107057,38151,96937,9262,34422,50658,23166,20154,29391,24906,44367,478472
PUNJAB,2017-18,119061,95,49567,13167,26169,41247,16621,20477,32580,18143,41508,378634
PUNJAB,2018-19,129051,113,57430,11481,29237,46846,18049,21597,34453,18712,43727,410696
PUNJAB,2019-20,134630,111,55361,11598,29434,50619,18759,23441,37034,20011,48365,429362
PUNJAB,2020-21,143062,114,55737,11838,28450,45360,17512,24218,38250,21069,47821,433432
PUNJAB,2021-22,149021,124,64933,12331,32688,52051,19928,25616,41046,22971,54006,474716
RAJASTHAN,2017-18,192110,47070,66918,18877,60541,93908,34307,28552,77107,19812,64475,703676
RAJASTHAN,2018-19,207471,23936,78989,18152,69298,107794,37981,33435,83743,24899,81212,766911
RAJASTHAN,2019-20,243184,21446,74610,21213,72922,117756,39877,37537,91372,24682,86624,831223
RAJASTHAN,2020-21,276738,21148,69119,22029,72765,111327,34795,37875,86381,26881,91997,851055
RAJASTHAN,2021-22,316831,25669,89849,24126,89655,134972,39706,42230,100303,30096,104894,998331
SIKKIM,2017-18,2178,16,10380,2122,951,1124,473,272,577,1038,1724,20856
SIKKIM,2018-19,2555,16,11062,2490,1029,1406,513,315,632,1445,1889,23353
SIKKIM,2019-20,2783,16,10800,2697,1162,1674,563,367,673,2060,2605,25401
SIKKIM,2020-21,3020,16,10545,2921,1239,1886,595,415,702,2543,3086,26968
SIKKIM,2021-22,3563,18,12199,3233,1345,2218,662,521,774,2979,3336,30848
